treatment,set,fluorescence,protein_ug_ml
no_treat,1,0.385,51.2957746
no_treat,1,0.304,48.9014085
AbO_Chol,1,0.146,52.42253521
Chol,1,0.257,49.7464789
Chol,1,0.324,71.7183099
AbO_Chol,1,0.188,55.66197183
Chol_LPS,1,0.301,41.57746
Chol_LPS,1,0.307,45.66197
AbO_LPS,1,0.12,77.77465
AbO,1,0.157,54.95775
AbO,1,0.153,51.85915
AbO_LPS,1,0.155,101.1549296
LPS,1,0.266,28.61972
LPS,1,0.33,36.64789
Fru,1,0.323,48.47887
AbO_Chol_LPS,1,0.15,128.056338
AbO_Chol_LPS,1,0.198,67.77464789
Fru,1,0.347,137.493
Fru_Chol,1,0.287,34.25352
Fru_Chol,1,0.236,49.04225
Fru_LPS,1,0.257,42.70423
AbO_Fru,1,0.101,67.91549
AbO_Fru,1,0.2,84.8169
Fru_LPS,1,0.249,79.60563
Ab_F_C_LPS,1,0.136,33.40845
Ab_F_C_LPS,1,0.159,63.12676
no_treat,2,0.428,51.2957746
no_treat,2,0.288,48.9014085
AbO_Chol,2,0.199,52.42253521
Chol,2,0.346,49.7464789
Chol,2,0.247,71.7183099
AbO_Chol,2,0.16,55.66197183
Chol_LPS,2,0.251,41.57746
Chol_LPS,2,0.224,45.66197
AbO_LPS,2,0.183,77.77465
AbO,2,0.115,54.95775
AbO,2,0.169,51.85915
AbO_LPS,2,0.252,101.1549296
LPS,2,0.334,28.61972
LPS,2,0.325,36.64789
Fru,2,0.344,48.47887
AbO_Chol_LPS,2,0.183,128.056338
AbO_Chol_LPS,2,0.219,67.77464789
Fru,2,0.27,137.493
Fru_Chol,2,0.225,34.25352
Fru_Chol,2,0.185,49.04225
Fru_LPS,2,0.219,42.70423
AbO_Fru,2,0.08,67.91549
AbO_Fru,2,0.286,84.8169
Fru_LPS,2,0.298,79.60563
Ab_F_C_LPS,2,0.128,33.40845
Ab_F_C_LPS,2,0.234,63.12676
