HMC3 ATP Data,,,
,,,
Treatment,Set,Calculated Fluorescence (nmol/well),Protein_ug_mL
no_treat,1,1.629702176,5.017709563
no_treat,1,1.55755441,5.112160567
no_treat,1,1.60755441,4.887839433
Chol,1,1.427605956,4.994096812
Chol,1,1.501764032,5.182998819
Chol,1,1.476042383,4.79338843
AbO,1,1.562365407,5.360094451
AbO,1,1.609444444,5.053128689
AbO,1,1.545836197,5.064935065
Chol_AbO,1,1.303018328,4.828807556
Chol_AbO,1,1.331437572,5.017709563
Chol_AbO,1,1.276712486,5.265643447
Chol_LPS,1,1.467812142,5.277449823
Chol_LPS,1,1.66021764,5.301062574
Chol_LPS,1,1.674736541,5.123966942
AbO_LPS,1,1.594702176,4.710743802
AbO_LPS,1,1.676781214,4.946871311
AbO_LPS,1,1.557983963,5.100354191
LPS,1,1.833069874,5.07674144
LPS,1,1.840887743,5.820543093
LPS,1,1.806609393,5.171192444
Chol_AbO_LPS,1,1.477726231,5.147579693
Chol_AbO_LPS,1,1.460715922,5.230224321
Chol_AbO_LPS,1,1.43916953,5.005903188
Fru,1,1.732416953,5.454545455
Fru,1,1.800063001,4.935064935
Fru,1,1.84093929,5.041322314
Chol_Fru,1,1.655819015,4.92325856
Chol_Fru,1,1.590887743,5.088547816
Chol_Fru,1,1.555544101,5.147579693
Fru_LPS,1,1.688963345,4.994096812
Fru_LPS,1,1.697743414,5.005903188
Fru_LPS,1,1.647829324,4.722550177
AbO_Fru,1,1.603619702,5.442739079
AbO_Fru,1,1.372880871,4.203069658
AbO_Fru,1,1.444753723,4.651711924
AbO_Fru_Chol_LPS,1,1.06545819,4.92325856
AbO_Fru_Chol_LPS,1,1.1910252,5.820543093
AbO_Fru_Chol_LPS,1,1.180767468,4.92325856
no_treat,2,1.759451914,5.79082864
no_treat,2,1.695070164,8.775543041
no_treat,2,1.710410697,4.592115849
Chol,2,1.584402322,6.619469027
Chol,2,1.554955551,5.171359614
Chol,2,1.63370803,3.135961384
AbO,2,1.610895599,3.618664521
AbO,2,1.619866285,2.918744972
AbO,2,1.597119976,2.476267096
Chol_AbO,2,1.424605099,2.717618665
Chol_AbO,2,1.451980016,2.395816573
Chol_AbO,2,1.456322092,1.655671762
Chol_LPS,2,1.584446404,6.080450523
Chol_LPS,2,1.62528837,4.318584071
Chol_LPS,2,1.682484755,3.08769107
AbO_LPS,2,1.063110719,2.677393403
AbO_LPS,2,1.657578429,1.277554304
AbO_LPS,2,1.626258174,2.03378922
LPS,2,1.847461612,3.111826227
LPS,2,1.849797958,2.403861625
LPS,2,1.922312835,0.94770716
Chol_AbO_LPS,2,1.24631548,3.924376508
Chol_AbO_LPS,2,1.31069723,5.493161706
Chol_AbO_LPS,2,1.423657336,1.921158488
Fru,2,1.81865403,17.24698311
Fru,2,1.640496657,15.6460177
Fru,2,1.854955551,14.04505229
Chol_Fru,2,1.541576666,17.69750603
Chol_Fru,2,1.496282419,17.89460981
Chol_Fru,2,1.585526412,18.0917136
Fru_LPS,2,1.828682683,16.21721641
Fru_LPS,2,1.676158989,16.94931617
Fru_LPS,2,1.872456102,17.68141593
AbO_Fru,2,1.585504371,20.65808528
AbO_Fru,2,1.520703842,20.65808528
AbO_Fru,2,1.569833223,20.65808528
AbO_Fru_Chol_LPS,2,1.204966571,23.13596138
AbO_Fru_Chol_LPS,2,1.259253545,22.11423974
AbO_Fru_Chol_LPS,2,1.321717728,21.0925181
no_treat,3,2.512160885,0.918238994
no_treat,3,2.707478597,1.371069182
no_treat,3,2.231035968,2.842767296
Chol,3,1.946888203,2.188679245
Chol,3,2.038053147,0.226415094
Chol,3,1.778922059,2.188679245
AbO,3,1.881990772,0.314465409
AbO,3,2.148710251,0.389937107
AbO,3,1.89939821,0.289308176
Chol_AbO,3,1.933525128,0.327044025
Chol_AbO,3,1.922726262,0.65408805
Chol_AbO,3,1.771959084,0.339622642
Chol_LPS,3,2.266517956,0.427672956
Chol_LPS,3,2.147105014,0.125786164
Chol_LPS,3,2.115792473,0.918238994
AbO_LPS,3,2.123589337,0.062893082
AbO_LPS,3,2.034321492,0.402515723
AbO_LPS,3,1.935734934,0.213836478
LPS,3,2.454685068,0.540880503
LPS,3,2.302792139,0.716981132
LPS,3,2.192072493,1.660377358
Chol_AbO_LPS,3,1.862060818,0.440251572
Chol_AbO_LPS,3,1.838649377,0.540880503
Chol_AbO_LPS,3,1.695199577,0.41509434
Fru,3,2.326995775,3.899371069
Fru,3,2.065383867,4.981132075
Fru,3,2.167410218,4.062893082
Chol_Fru,3,1.986331165,4.301886792
Chol_Fru,3,1.844757616,4.540880503
Chol_Fru,3,1.835730765,3.182389937
Fru_LPS,3,2.30858767,5.471698113
Fru_LPS,3,2.210501445,6.075471698
Fru_LPS,3,1.869336502,6.327044025
AbO_Fru,3,1.94517873,5.232704403
AbO_Fru,3,1.637327663,14.47798742
AbO_Fru,3,1.756073493,13.66037736
AbO_Fru_Chol_LPS,3,1.458375028,5.547169811
AbO_Fru_Chol_LPS,3,1.375423894,4.955974843
AbO_Fru_Chol_LPS,3,1.408925395,5.949685535
