treatment,fluorescence,protein_ug_ml
no_treat,94162,35.18518519
no_treat,89573,50.42328042
AbO_Chol,108047,35.07936508
Chol,120045,4.920634921
Chol,116614,60.63492063
AbO_Chol,149238,15.5026455
Chol_LPS,131407,46.87830688
Chol_LPS,117598,67.98941799
AbO_LPS,103395,52.75132275
AbO,105980,27.77777778
AbO,105639,65.23809524
AbO_LPS,107768,69.89417989
LPS,126257,64.55026455
LPS,111729,57.24867725
Fru,104188,33.65079365
AbO_Chol_LPS,126850,50.68783069
AbO_Chol_LPS,121374,61.32275132
Fru,132350,58.04232804
Fru_Chol,113924,43.43915344
Fru_Chol,117902,57.14285714
Fru_LPS,121089,44.65608466
AbO_Fru,112167,57.77777778
AbO_Fru,117806,74.39153439
Fru_LPS,125010,66.08465608
Ab_F_C_LPS,130785,52.8042328
Ab_F_C_LPS,177148,39.62962963
